amps,cell,durs,expt,files,laser,laser_dur,laser_start,rep,spikes
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,128.399999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,129.233333333333
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,130.833333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,131.566666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,132.399999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,137.899999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,150.399999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,152.233333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,158.899999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,163.399999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,166.233333333333
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,166.899999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,178.833333333333
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,180.666666666665
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,181.999999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,182.499999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,182.833333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,184.499999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,184.966666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,186.833333333333
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,187.333333333332
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,191.966666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,195.799999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,196.666666666665
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,197.166666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,197.499999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,199.466666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,200.666666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,201.166666666666
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,202.499999999999
80,6,1000,soundfile,lunatics.wav,0,NaN,NaN,1,204.666666666665
