amps,cell,dur,expt,freqs,rep,spikes
70,15,25,tuning_curve,9513.66,6,43.4666666667312
70,15,25,tuning_curve,9513.66,6,70.7666666667279
70,15,25,tuning_curve,9513.66,6,81.9000000000614
70,15,25,tuning_curve,19027.3,6,-80.5333333332925
70,15,25,tuning_curve,64000,6,176.299999999983
70,15,25,tuning_curve,4000,7,16.4666666666449
70,15,25,tuning_curve,4000,7,176.39999999998
70,15,25,tuning_curve,5656.85,7,-62.1333333332643
70,15,25,tuning_curve,5656.85,7,-50.6333333332663
70,15,25,tuning_curve,5656.85,7,75.8666666667338
70,15,25,tuning_curve,5656.85,7,109.066666666735
70,15,25,tuning_curve,5656.85,7,115.133333333404
70,15,25,tuning_curve,6727.17,7,-43.7333333333356
70,15,25,tuning_curve,9513.66,7,-89.7666666666765
70,15,25,tuning_curve,26908.7,7,4.96666666668943
70,15,25,tuning_curve,32000,7,-62.5666666666191
70,15,25,tuning_curve,38054.6,7,22.2000000000691
70,15,25,tuning_curve,45254.8,7,183.166666666651
70,15,25,tuning_curve,53817.4,7,7.10000000005095
70,15,25,tuning_curve,4000,8,167.399999999986
70,15,25,tuning_curve,4756.83,8,131.566666666728
70,15,25,tuning_curve,5656.85,8,-12.6999999999811
70,15,25,tuning_curve,5656.85,8,107.833333333346
70,15,25,tuning_curve,5656.85,8,160.633333333351
70,15,25,tuning_curve,5656.85,8,184.80000000001
70,15,25,tuning_curve,6727.17,8,-51.0999999999484
70,15,25,tuning_curve,6727.17,8,134.600000000049
70,15,25,tuning_curve,8000,8,76.8000000000768
70,15,25,tuning_curve,9513.66,8,-48.0666666666565
70,15,25,tuning_curve,9513.66,8,98.0666666666821
70,15,25,tuning_curve,9513.66,8,112.300000000019
70,15,25,tuning_curve,13454.3,8,193.566666666669
70,15,25,tuning_curve,16000,8,-15.7999999999276
70,15,25,tuning_curve,16000,8,143.000000000072
70,15,25,tuning_curve,16000,8,199.266666666745
70,15,25,tuning_curve,19027.3,8,14.500000000055
70,15,25,tuning_curve,19027.3,8,171.133333333387
70,15,25,tuning_curve,32000,8,-12.5999999999777
70,15,25,tuning_curve,38054.6,8,17.8333333334137
70,15,25,tuning_curve,45254.8,8,-27.0666666666131
70,15,25,tuning_curve,45254.8,8,194.200000000052
70,15,25,tuning_curve,53817.4,8,-68.7333333333555
70,15,25,tuning_curve,53817.4,8,137.76666666665
70,15,25,tuning_curve,64000,8,102.133333333342
70,15,25,tuning_curve,64000,8,115.400000000008
70,15,25,tuning_curve,6727.17,9,4.6000000000106
70,15,25,tuning_curve,16000,9,196.400000000011
70,15,25,tuning_curve,19027.3,9,116.566666666657
70,15,25,tuning_curve,19027.3,9,161.433333333321
70,15,25,tuning_curve,22627.4,9,57.6666666666767
70,15,25,tuning_curve,26908.7,9,-41.2333333332811
70,15,25,tuning_curve,26908.7,9,36.3333333333742
70,15,25,tuning_curve,32000,9,8.66666666668436
70,15,25,tuning_curve,53817.4,9,-34.300000000016
70,15,25,tuning_curve,64000,9,-55.7333333333361
70,15,25,tuning_curve,4000,10,47.7333333333831
70,15,25,tuning_curve,5656.85,10,-95.933333333349
70,15,25,tuning_curve,6727.17,10,43.0666666667179
70,15,25,tuning_curve,11313.7,10,-8.29999999999131
70,15,25,tuning_curve,16000,10,-25.9666666666476
70,15,25,tuning_curve,38054.6,10,12.6666666667035
70,15,25,tuning_curve,9513.66,11,161.266666666734
70,15,25,tuning_curve,11313.7,11,62.5000000000142
70,15,25,tuning_curve,11313.7,11,198.266666666683
70,15,25,tuning_curve,13454.3,11,-86.8000000000251
70,15,25,tuning_curve,13454.3,11,-62.866666666693
70,15,25,tuning_curve,13454.3,11,151.099999999971
70,15,25,tuning_curve,22627.4,11,-5.23333333332232
70,15,25,tuning_curve,22627.4,11,8.50000000001216
70,15,25,tuning_curve,22627.4,11,138.766666666683
70,15,25,tuning_curve,26908.7,11,-0.533333333308406
70,15,25,tuning_curve,26908.7,11,13.5000000000218
70,15,25,tuning_curve,32000,11,14.0000000000384
70,15,25,tuning_curve,38054.6,11,-90.8999999999338
70,15,25,tuning_curve,64000,11,135.033333333425
70,15,25,tuning_curve,4000,12,-20.5999999999449
70,15,25,tuning_curve,6727.17,12,47.7333333333547
70,15,25,tuning_curve,6727.17,12,128.833333333361
70,15,25,tuning_curve,13454.3,12,-24.3666666665945
